ExperimentNumber,WorkloadNumber,RequestId,                   J,UserClass,              Policy,CloudDeploymentModel,CloudletId,            TaskType,CloudletLength,CloudletStatusString,SubmissionTime,ExecStartTime,FinalExecTime,FinishTime,InstanceVmId,              VmType
               1,             1,   188051,             J={1-1},     GOLD,             LFFPerf,              Public,        13,                 Map,            64,             Success,         83.10,        83.10,         8.06,     91.16,           9,      azure-standard
               1,             1,   188051,             J={1-1},     GOLD,             LFFPerf,              Public,        14,              Reduce,          1000,             Success,         91.16,        91.16,         1.00,     92.16,           9,      azure-standard
